id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cst3	1.45245219306548e-106	4.06681057438629	1	0.992	2.90490438613096e-103
Naaa	1.03183774659345e-105	2.88380104446569	1	0.811	2.06367549318691e-102
Itgae	1.26697146518098e-101	2.04071643663806	0.982	0.553	2.53394293036196e-98
Wdfy4	2.66223057079387e-99	2.03307100605258	0.988	0.656	5.32446114158773e-96
Plbd1	2.03118477549572e-97	2.19978073916514	1	0.88	4.06236955099145e-94
Irf8	1.20868896732317e-96	2.74477749903894	0.988	0.85	2.41737793464633e-93
Ppt1	1.44042374446319e-93	2.3432812774483	0.994	0.789	2.88084748892638e-90
Gm2a	8.92389672728447e-93	2.13032677036892	1	0.947	1.78477934545689e-89
Ckb	1.39553416110194e-92	2.51007651612115	1	0.839	2.79106832220389e-89
Cd24a	2.23611419318897e-91	2.05093662434649	0.982	0.662	4.47222838637795e-88
Clec9a	3.78751318429747e-87	1.45687050073321	0.945	0.588	7.57502636859494e-84
Ifi205	7.31516859786835e-86	1.92811303361073	0.988	0.758	1.46303371957367e-82
Rnase6	2.52637973332977e-84	1.71170193452865	0.982	0.671	5.05275946665954e-81
Sdad1	1.45757945712618e-83	1.64006158297386	0.982	0.775	2.91515891425236e-80
H2-Ab1	1.8400690122659e-81	1.90092337923318	1	0.906	3.68013802453179e-78
Jaml	2.76023477687558e-80	1.55294087239503	0.988	0.723	5.52046955375116e-77
Shtn1	4.39576429444079e-75	1.29454271605494	0.994	0.853	8.79152858888159e-72
Sept3	9.41092404825434e-75	1.45632128076164	0.909	0.676	1.88218480965087e-71
H2-Aa	2.16259989381522e-74	1.75317432717706	1	0.916	4.32519978763044e-71
Cd74	1.20402561661939e-71	1.68050198214593	1	0.966	2.40805123323878e-68
Lsp1	1.64945773711491e-71	1.58441193966763	1	0.876	3.29891547422983e-68
Cbfa2t3	1.04989057755675e-70	1.3467142149479	0.964	0.613	2.0997811551135e-67
H2-Oa	4.40297358462552e-69	1.21846556200801	0.903	0.638	8.80594716925104e-66
H2-Eb1	6.59071895139617e-69	1.72156119097392	1	0.914	1.31814379027923e-65
Tlr3	6.95351256659798e-68	1.3463783746403	0.903	0.541	1.3907025133196e-64
Id2	2.64614046546815e-67	1.61987552589941	0.994	0.789	5.29228093093631e-64
Rab7b	1.49737338336728e-66	1.1935359939701	0.964	0.626	2.99474676673456e-63
H2-DMb1	1.66464901119808e-66	1.43056836921044	1	0.868	3.32929802239616e-63
Atpif1	3.16363788942546e-64	1.20249052460286	1	0.98	6.32727577885093e-61
Ciita	7.4128596854835e-64	1.19846435911007	0.982	0.737	1.4825719370967e-60
Napsa	2.2813411507483e-62	1.23773732421139	0.976	0.803	4.56268230149659e-59
Gnb4	5.08739048592419e-61	1.02392776251075	0.927	0.539	1.01747809718484e-57
Slamf7	3.28613315441569e-60	1.01892770503095	0.897	0.696	6.57226630883138e-57
Tnni2	1.40189926616342e-58	1.16023865083014	0.867	0.621	2.80379853232683e-55
Pkib	4.81067648347164e-57	1.08405498942292	0.958	0.808	9.62135296694328e-54
Olfm1	6.21525585891324e-57	1.13522471451834	0.976	0.819	1.24305117178265e-53
Mycl	9.05988397443861e-55	0.735104562866353	0.782	0.48	1.81197679488772e-51
Bcl2a1d	9.08390403541567e-55	1.04834231046147	0.958	0.856	1.81678080708313e-51
Batf3	1.33917762336022e-54	1.13369786433517	0.939	0.702	2.67835524672045e-51
Rtl8a	1.00912655934753e-53	1.11992860024014	0.867	0.546	2.01825311869505e-50
Bcl2a1a	9.5617464596161e-52	1.26604828019584	0.97	0.835	1.91234929192322e-48
Asb2	2.62789404397078e-51	0.79804019675175	0.855	0.538	5.25578808794156e-48
Cd52	8.08449106233151e-51	1.10352813755099	1	0.952	1.6168982124663e-47
St3gal5	9.04914653948821e-51	0.866071891998851	0.873	0.572	1.80982930789764e-47
H2-Ob	1.37096630822554e-50	0.895607451927525	0.818	0.547	2.74193261645107e-47
Cycs	4.68580858426598e-50	1.10258579799861	0.988	0.97	9.37161716853195e-47
Rtl8b	1.92571791558628e-48	1.0316516968674	0.83	0.519	3.85143583117257e-45
Ece1	5.71203383055887e-48	0.890254804574199	0.939	0.673	1.14240676611177e-44
Psap	3.04472601241223e-47	0.990479774223685	1	0.983	6.08945202482446e-44
Klrk1	1.00312641309998e-44	0.542000940474445	0.891	0.667	2.00625282619997e-41
Itgb7	3.05779298173524e-43	0.684085895476299	0.945	0.75	6.11558596347049e-40
Kmo	1.07722993621828e-42	0.761309693654158	0.83	0.604	2.15445987243657e-39
Qpct	2.09052286187584e-41	0.972727888248589	0.812	0.585	4.18104572375167e-38
H2afz	8.68709709603183e-41	0.941416639894308	0.988	0.982	1.73741941920637e-37
Cyfip2	2.03701399645152e-40	0.629840738155754	0.873	0.594	4.07402799290303e-37
Actn1	3.62510906962386e-40	0.837347980744211	0.933	0.678	7.25021813924772e-37
Coro2a	4.17851088429464e-40	0.644135793685331	0.927	0.758	8.35702176858927e-37
Prelid2	3.46799839665858e-38	0.454592959904125	0.873	0.607	6.93599679331716e-35
Net1	2.21320080385293e-37	0.539268977111728	0.83	0.617	4.42640160770586e-34
Ifi30	6.06515586588353e-37	0.869306408871668	1	0.944	1.21303117317671e-33
Gpr171	7.35788529963146e-37	0.898474554086884	0.861	0.749	1.47157705992629e-33
Phf11a	2.10215798390898e-36	0.769651473889536	0.77	0.592	4.20431596781795e-33
Ear2	2.7704447077164e-36	0.473237075893895	0.721	0.529	5.5408894154328e-33
Ncoa7	3.93357755795514e-35	0.845226805312015	0.909	0.732	7.86715511591028e-32
Ppp1r14a	4.01042700362034e-35	0.479575520994018	0.782	0.534	8.02085400724069e-32
H2-DMb2	9.02897352996144e-35	0.659435122083237	0.818	0.666	1.80579470599229e-31
Tbc1d4	3.75183465200497e-34	0.848681484312666	0.8	0.594	7.50366930400995e-31
Dctpp1	4.69366073997351e-34	0.757533966223509	0.903	0.778	9.38732147994701e-31
Glipr1	2.17159529495383e-33	0.632911714920436	0.848	0.621	4.34319058990766e-30
Hfe	3.10526474286849e-33	0.872442037140185	0.927	0.783	6.21052948573698e-30
Rgs10	1.14883434800975e-32	0.797732338718932	0.982	0.831	2.2976686960195e-29
St8sia4	2.58350652669728e-30	0.765408176430239	0.903	0.704	5.16701305339457e-27
