0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value	13	13_value	14	14_value
HALLMARK_ALLOGRAFT_REJECTION	0.742213830978142	HALLMARK_PANCREAS_BETA_CELLS	1.57290872217719	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.74964837744611	HALLMARK_IL6_JAK_STAT3_SIGNALING	1.23510142207788	HALLMARK_NOTCH_SIGNALING	1.59930872482547	HALLMARK_DNA_REPAIR	1.99479392059205	HALLMARK_XENOBIOTIC_METABOLISM	1.71984443028501	HALLMARK_BILE_ACID_METABOLISM	0.919931674180094	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.06334869827242	HALLMARK_SPERMATOGENESIS	1.52885273099896	HALLMARK_APICAL_JUNCTION	0.866135707071478	HALLMARK_MYOGENESIS	9.09606391740092	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5.041975361089	HALLMARK_G2M_CHECKPOINT	20.3681422332269	HALLMARK_FATTY_ACID_METABOLISM	0.671334566517979
HALLMARK_KRAS_SIGNALING_UP	0.599282157627927	HALLMARK_UV_RESPONSE_UP	0.854389201063562	HALLMARK_UV_RESPONSE_DN	2.13536912707765	HALLMARK_BILE_ACID_METABOLISM	1.03144239016237	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.46659921180403	HALLMARK_MTORC1_SIGNALING	1.56966869910002	HALLMARK_ANGIOGENESIS	1.33114747205695	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.7573767244746	HALLMARK_TGF_BETA_SIGNALING	1.76621654968667	HALLMARK_UV_RESPONSE_UP	1.41257304747885	HALLMARK_ALLOGRAFT_REJECTION	0.74470731690037	HALLMARK_APICAL_JUNCTION	1.44105512576548	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3.89706173138982	HALLMARK_E2F_TARGETS	19.4798594339981	HALLMARK_E2F_TARGETS	0.652545663589375
HALLMARK_ANDROGEN_RESPONSE	0.569801124461621	HALLMARK_SPERMATOGENESIS	0.580529257938892	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.81590503432148	HALLMARK_COAGULATION	0.704282742807949	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.03519216371699	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.54951852256605	HALLMARK_ALLOGRAFT_REJECTION	1.33034633696416	HALLMARK_INFLAMMATORY_RESPONSE	0.617824067652139	HALLMARK_GLYCOLYSIS	1.30212839677991	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.25761852401677	HALLMARK_APICAL_SURFACE	0.703945081238095	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.650785578495997	HALLMARK_APOPTOSIS	2.54516960584278	HALLMARK_MITOTIC_SPINDLE	8.56863379904698	HALLMARK_XENOBIOTIC_METABOLISM	0.47412304082424
HALLMARK_COMPLEMENT	0.444836480354223	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.574295975273846	HALLMARK_IL2_STAT5_SIGNALING	1.1084955972863	HALLMARK_PEROXISOME	0.510643853546813	HALLMARK_IL2_STAT5_SIGNALING	0.887506485618468	HALLMARK_COMPLEMENT	1.43856708300928	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.08934084632963	HALLMARK_KRAS_SIGNALING_UP	0.516150755762977	HALLMARK_MYOGENESIS	1.06495004992709	HALLMARK_HEDGEHOG_SIGNALING	1.03088479836281	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.63385232903132	HALLMARK_MYC_TARGETS_V1	0.463153683694641	HALLMARK_P53_PATHWAY	2.54516960584278	HALLMARK_MYC_TARGETS_V1	5.51582729353667	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0
HALLMARK_HEDGEHOG_SIGNALING	0.398959055077432	HALLMARK_ESTROGEN_RESPONSE_LATE	0.45184797945317	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.958135163462964	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.353056048503018	HALLMARK_P53_PATHWAY	0.809121973556013	HALLMARK_IL2_STAT5_SIGNALING	1.38672641311689	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.894377691223226	HALLMARK_NOTCH_SIGNALING	0.483189598653667	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.956400533154611	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.856120974128735	HALLMARK_KRAS_SIGNALING_DN	0.557908852556344	HALLMARK_HEME_METABOLISM	0.430165133843553	HALLMARK_HYPOXIA	2.41905842178819	HALLMARK_SPERMATOGENESIS	1.51550484069739	HALLMARK_HYPOXIA	0
HALLMARK_HEME_METABOLISM	0.398959055077432	HALLMARK_HEME_METABOLISM	0.40284797293401	HALLMARK_COAGULATION	0.957475286149839	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.353056048503018	HALLMARK_MYOGENESIS	0.792617824979061	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.33114747205695	HALLMARK_APICAL_JUNCTION	0.773004772795791	HALLMARK_COAGULATION	0.436449464831802	HALLMARK_HYPOXIA	0.953036363693254	HALLMARK_INFLAMMATORY_RESPONSE	0.776836033272902	HALLMARK_GLYCOLYSIS	0.533103440706823	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.308559628073158	HALLMARK_UV_RESPONSE_DN	1.78703197945049	HALLMARK_MTORC1_SIGNALING	1.20845241350381	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0
HALLMARK_XENOBIOTIC_METABOLISM	0.366984140852646	HALLMARK_PEROXISOME	0.40284797293401	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.943694310981719	HALLMARK_APOPTOSIS	0.331765267381003	HALLMARK_ADIPOGENESIS	0.775185685103647	HALLMARK_ESTROGEN_RESPONSE_LATE	1.02668763394069	HALLMARK_BILE_ACID_METABOLISM	0.750186069319388	HALLMARK_TGF_BETA_SIGNALING	0.396739415327392	HALLMARK_COAGULATION	0.890860621833067	HALLMARK_ESTROGEN_RESPONSE_LATE	0.767166379732837	HALLMARK_DNA_REPAIR	0.447699502213997	HALLMARK_ADIPOGENESIS	0.290275707557766	HALLMARK_TGF_BETA_SIGNALING	1.72014527595697	HALLMARK_GLYCOLYSIS	1.11000646419699	HALLMARK_MITOTIC_SPINDLE	0
HALLMARK_APICAL_SURFACE	0.346509816154004	HALLMARK_APICAL_SURFACE	0.348876837672569	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.9436071129892	HALLMARK_INFLAMMATORY_RESPONSE	0.320026181704461	HALLMARK_MYC_TARGETS_V1	0.701775139719641	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.984340579431231	HALLMARK_COMPLEMENT	0.672617417952082	HALLMARK_ANGIOGENESIS	0.362162608121514	HALLMARK_PROTEIN_SECRETION	0.711216750861298	HALLMARK_KRAS_SIGNALING_UP	0.714226520043162	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.446850714588267	HALLMARK_HYPOXIA	0.241549358247857	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.56351292879445	HALLMARK_ESTROGEN_RESPONSE_LATE	0.926565465528628	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0
HALLMARK_COAGULATION	0.285142844183497	HALLMARK_KRAS_SIGNALING_DN	0.265804395752702	HALLMARK_PEROXISOME	0.875913520051314	HALLMARK_NOTCH_SIGNALING	0.305021320244464	HALLMARK_MYC_TARGETS_V2	0.678700618564435	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.894377691223226	HALLMARK_PROTEIN_SECRETION	0.59731135469446	HALLMARK_HEME_METABOLISM	0.33183987603234	HALLMARK_ALLOGRAFT_REJECTION	0.613051843803463	HALLMARK_E2F_TARGETS	0.605552260299938	HALLMARK_HEDGEHOG_SIGNALING	0.415066334098346	HALLMARK_MTORC1_SIGNALING	0.230090689821112	HALLMARK_COMPLEMENT	1.46489649265763	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.907932847281832	HALLMARK_TGF_BETA_SIGNALING	0
HALLMARK_KRAS_SIGNALING_DN	0.261810585190653	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.248129243949608	HALLMARK_KRAS_SIGNALING_UP	0.763090609431979	HALLMARK_ADIPOGENESIS	0.292788619144438	HALLMARK_KRAS_SIGNALING_DN	0.537245535970832	HALLMARK_P53_PATHWAY	0.890856451290952	HALLMARK_HYPOXIA	0.588634013351045	HALLMARK_HYPOXIA	0.312655486987782	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.557365491944857	HALLMARK_UV_RESPONSE_DN	0.551439163131546	HALLMARK_XENOBIOTIC_METABOLISM	0.347138533593869	HALLMARK_KRAS_SIGNALING_DN	0.20601973996748	HALLMARK_MTORC1_SIGNALING	1.08192221635774	HALLMARK_DNA_REPAIR	0.764688489229804	HALLMARK_IL6_JAK_STAT3_SIGNALING	0
