0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value
HALLMARK_ESTROGEN_RESPONSE_LATE	1.74986822934788	HALLMARK_ALLOGRAFT_REJECTION	1.4766129784207	HALLMARK_DNA_REPAIR	1.20557195031195	HALLMARK_E2F_TARGETS	2.98465966175652	HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.13800194939721	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.05688852555572	HALLMARK_COAGULATION	3.09765051408882	HALLMARK_IL2_STAT5_SIGNALING	2.03905642738763	HALLMARK_ANDROGEN_RESPONSE	1.17016410235202	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.10131046948211	HALLMARK_BILE_ACID_METABOLISM	1.93156339816003	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.76138713704696	HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.55553004172232
HALLMARK_UV_RESPONSE_UP	0.610941867954539	HALLMARK_APICAL_JUNCTION	0.9553210508729	HALLMARK_KRAS_SIGNALING_DN	0.558112167228016	HALLMARK_G2M_CHECKPOINT	2.77991072317239	HALLMARK_APOPTOSIS	1.13250443375122	HALLMARK_P53_PATHWAY	2.01356217392641	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.04424467093173	HALLMARK_GLYCOLYSIS	0.871792051846251	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.05703858824453	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.828226199303237	HALLMARK_KRAS_SIGNALING_DN	1.55534926369163	HALLMARK_ADIPOGENESIS	1.46799045715439	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0
HALLMARK_PANCREAS_BETA_CELLS	0.598797335894847	HALLMARK_PROTEIN_SECRETION	0.686789268061746	HALLMARK_P53_PATHWAY	0.496242775997955	HALLMARK_MITOTIC_SPINDLE	0.933531418055621	HALLMARK_ADIPOGENESIS	0.749613060315407	HALLMARK_ADIPOGENESIS	1.80304638895279	HALLMARK_MYOGENESIS	1.34264513032175	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.73992393502556	HALLMARK_HEDGEHOG_SIGNALING	0.971883101371101	HALLMARK_APICAL_JUNCTION	0.808464722934362	HALLMARK_FATTY_ACID_METABOLISM	1.51324904593089	HALLMARK_ESTROGEN_RESPONSE_LATE	1.40721598336534	HALLMARK_HYPOXIA	0
HALLMARK_SPERMATOGENESIS	0.523513716737362	HALLMARK_PANCREAS_BETA_CELLS	0.671470550310409	HALLMARK_PEROXISOME	0.463491830978333	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.540855387057159	HALLMARK_COAGULATION	0.749613060315407	HALLMARK_UV_RESPONSE_UP	1.71703608606319	HALLMARK_INFLAMMATORY_RESPONSE	1.29749401154488	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.738002278138769	HALLMARK_INFLAMMATORY_RESPONSE	0.94259401304001	HALLMARK_KRAS_SIGNALING_UP	0.599127386504845	HALLMARK_MTORC1_SIGNALING	1.03286579545587	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.25364413643037	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.39365776732691	HALLMARK_APICAL_SURFACE	0.592797477523009	HALLMARK_TGF_BETA_SIGNALING	0.439381802232224	HALLMARK_MYOGENESIS	0.500101751220638	HALLMARK_HEME_METABOLISM	0.682989207012648	HALLMARK_APICAL_SURFACE	1.49478199892431	HALLMARK_KRAS_SIGNALING_UP	1.17421036973564	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.54682814000279	HALLMARK_COMPLEMENT	0.892186097144835	HALLMARK_ANGIOGENESIS	0.573645480932067	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.8045381596669	HALLMARK_MYC_TARGETS_V2	1.1222741319852	HALLMARK_MITOTIC_SPINDLE	0
HALLMARK_TGF_BETA_SIGNALING	0.322056116840487	HALLMARK_SPERMATOGENESIS	0.592797477523009	HALLMARK_NOTCH_SIGNALING	0.439381802232224	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.461119184940709	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.573833454317156	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.41574093427376	HALLMARK_BILE_ACID_METABOLISM	0.989571354809476	HALLMARK_INFLAMMATORY_RESPONSE	0.487357744284021	HALLMARK_UV_RESPONSE_DN	0.758552121233074	HALLMARK_COMPLEMENT	0.571321368677206	HALLMARK_PEROXISOME	0.752689469599957	HALLMARK_KRAS_SIGNALING_UP	1.00973469591963	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.322056116840487	HALLMARK_GLYCOLYSIS	0.428196965647544	HALLMARK_ANGIOGENESIS	0.439381802232224	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.461119184940709	HALLMARK_ESTROGEN_RESPONSE_LATE	0.572929408680169	HALLMARK_HYPOXIA	1.30027008886874	HALLMARK_APICAL_JUNCTION	0.951646559999465	HALLMARK_ANDROGEN_RESPONSE	0.481178330560791	HALLMARK_XENOBIOTIC_METABOLISM	0.719833709591349	HALLMARK_ADIPOGENESIS	0.529420299881024	HALLMARK_HYPOXIA	0.545181619739392	HALLMARK_HYPOXIA	0.85372672434614	HALLMARK_TGF_BETA_SIGNALING	0
HALLMARK_ANGIOGENESIS	0.322056116840487	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.375441129226685	HALLMARK_ANDROGEN_RESPONSE	0.378129469235926	HALLMARK_BILE_ACID_METABOLISM	0.458600311562927	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.559204339297366	HALLMARK_MYOGENESIS	1.30027008886874	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.927729517926872	HALLMARK_MTORC1_SIGNALING	0.456174908861627	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.706472892691421	HALLMARK_COAGULATION	0.529420299881024	HALLMARK_P53_PATHWAY	0.466105752958526	HALLMARK_INFLAMMATORY_RESPONSE	0.822663982106754	HALLMARK_IL6_JAK_STAT3_SIGNALING	0
HALLMARK_KRAS_SIGNALING_UP	0.299036451007736	HALLMARK_NOTCH_SIGNALING	0.358606675132625	HALLMARK_APICAL_SURFACE	0.288198339029696	HALLMARK_COMPLEMENT	0.350713240253275	HALLMARK_BILE_ACID_METABOLISM	0.486653699231994	HALLMARK_IL2_STAT5_SIGNALING	1.26578079274718	HALLMARK_UV_RESPONSE_DN	0.644799342294136	HALLMARK_UV_RESPONSE_UP	0.456174908861627	HALLMARK_KRAS_SIGNALING_DN	0.531504903850157	HALLMARK_GLYCOLYSIS	0.497157984436829	HALLMARK_XENOBIOTIC_METABOLISM	0.440988446256026	HALLMARK_UV_RESPONSE_DN	0.68541186337333	HALLMARK_DNA_REPAIR	0
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.26676613243328	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.358606675132625	HALLMARK_HEDGEHOG_SIGNALING	0.288198339029696	HALLMARK_APOPTOSIS	0.332217132575092	HALLMARK_NOTCH_SIGNALING	0.478678102352222	HALLMARK_APOPTOSIS	1.19870772326589	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.58790083287197	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.427608824408711	HALLMARK_APOPTOSIS	0.467988775029145	HALLMARK_HYPOXIA	0.473928672314444	HALLMARK_HEME_METABOLISM	0.364855244238019	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.619084202059143	HALLMARK_G2M_CHECKPOINT	0
