0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value
HALLMARK_MYC_TARGETS_V2	0.763555849510993	HALLMARK_INTERFERON_GAMMA_RESPONSE	12.9911098214369	HALLMARK_PANCREAS_BETA_CELLS	0.145417909503508	HALLMARK_E2F_TARGETS	13.6481808995393	HALLMARK_OXIDATIVE_PHOSPHORYLATION	24.9548916513109	HALLMARK_KRAS_SIGNALING_UP	0.955975104639166	HALLMARK_KRAS_SIGNALING_UP	4.06863491321515	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	5.22569717121586	HALLMARK_XENOBIOTIC_METABOLISM	1.71317998790962	HALLMARK_PANCREAS_BETA_CELLS	0.332065913179758	HALLMARK_XENOBIOTIC_METABOLISM	1.05804527047562
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.424981096715114	HALLMARK_MYC_TARGETS_V1	11.5447177077926	HALLMARK_HEDGEHOG_SIGNALING	0.1168442034115	HALLMARK_G2M_CHECKPOINT	12.1818919780658	HALLMARK_MYC_TARGETS_V1	21.1192731368575	HALLMARK_MYOGENESIS	0.303933523943967	HALLMARK_ESTROGEN_RESPONSE_EARLY	3.03316046546766	HALLMARK_ESTROGEN_RESPONSE_EARLY	3.38691911557364	HALLMARK_PANCREAS_BETA_CELLS	1.46491583844959	HALLMARK_COAGULATION	0.169870741244292	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0
HALLMARK_DNA_REPAIR	0.406169817448779	HALLMARK_TNFA_SIGNALING_VIA_NFKB	10.1724416827723	HALLMARK_KRAS_SIGNALING_DN	0.10505036939551	HALLMARK_ALLOGRAFT_REJECTION	4.73784877672863	HALLMARK_TNFA_SIGNALING_VIA_NFKB	11.4542497011087	HALLMARK_HEDGEHOG_SIGNALING	0.228944571348935	HALLMARK_MYOGENESIS	2.65695100851935	HALLMARK_MYOGENESIS	2.94587099751765	HALLMARK_GLYCOLYSIS	0.925767460227388	HALLMARK_KRAS_SIGNALING_DN	0.0417907048841361	HALLMARK_HYPOXIA	0
HALLMARK_NOTCH_SIGNALING	0.271142830006521	HALLMARK_OXIDATIVE_PHOSPHORYLATION	9.45107032857612	HALLMARK_NOTCH_SIGNALING	0.0117061876537915	HALLMARK_SPERMATOGENESIS	1.37566293147353	HALLMARK_ALLOGRAFT_REJECTION	11.4037359191959	HALLMARK_PANCREAS_BETA_CELLS	0.202049375020177	HALLMARK_APICAL_JUNCTION	2.58672358581602	HALLMARK_BILE_ACID_METABOLISM	2.88237584232615	HALLMARK_BILE_ACID_METABOLISM	0.92484154817047	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0245196378282325	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0
HALLMARK_BILE_ACID_METABOLISM	0.226886515119905	HALLMARK_MTORC1_SIGNALING	9.16324280351048	HALLMARK_ESTROGEN_RESPONSE_LATE	0.0102735009512831	HALLMARK_MITOTIC_SPINDLE	1.22399173311186	HALLMARK_HYPOXIA	10.4859998160193	HALLMARK_APICAL_SURFACE	0.178989356232171	HALLMARK_UV_RESPONSE_DN	2.09535864971022	HALLMARK_ESTROGEN_RESPONSE_LATE	2.41249016647086	HALLMARK_KRAS_SIGNALING_DN	0.632789845429004	HALLMARK_SPERMATOGENESIS	0.00635668171462572	HALLMARK_MITOTIC_SPINDLE	0
HALLMARK_PEROXISOME	0.211353125008099	HALLMARK_PROTEIN_SECRETION	8.23276678588608	HALLMARK_SPERMATOGENESIS	0.00561873795701805	HALLMARK_IL2_STAT5_SIGNALING	0.749898576560175	HALLMARK_INTERFERON_GAMMA_RESPONSE	9.72487254208545	HALLMARK_HEME_METABOLISM	0.163979377743723	HALLMARK_ESTROGEN_RESPONSE_LATE	1.77697437204724	HALLMARK_APICAL_JUNCTION	1.92481940086321	HALLMARK_KRAS_SIGNALING_UP	0.627141480111874	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00560840918985833	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0
HALLMARK_HEME_METABOLISM	0.19182144633117	HALLMARK_IL2_STAT5_SIGNALING	7.90014476675953	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00528284010395605	HALLMARK_APICAL_SURFACE	0.266754592225728	HALLMARK_MTORC1_SIGNALING	8.81100843424853	HALLMARK_IL2_STAT5_SIGNALING	0.163979377743723	HALLMARK_P53_PATHWAY	1.08460165589744	HALLMARK_UV_RESPONSE_DN	1.69477873389591	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.62154533708032	HALLMARK_BILE_ACID_METABOLISM	0.00417859655899864	HALLMARK_TGF_BETA_SIGNALING	0
HALLMARK_GLYCOLYSIS	0.189719138515147	HALLMARK_ADIPOGENESIS	7.8128828442632	HALLMARK_BILE_ACID_METABOLISM	0.00433111773622346	HALLMARK_INFLAMMATORY_RESPONSE	0.198962819339632	HALLMARK_COMPLEMENT	8.60759518782275	HALLMARK_PEROXISOME	0.156818036538003	HALLMARK_ADIPOGENESIS	1.07500334830619	HALLMARK_KRAS_SIGNALING_UP	1.50742603483385	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.465830963163776	HALLMARK_XENOBIOTIC_METABOLISM	0.00362244248396011	HALLMARK_IL6_JAK_STAT3_SIGNALING	0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.180877047130153	HALLMARK_APOPTOSIS	7.66566727697817	HALLMARK_COAGULATION	0.00347536909243143	HALLMARK_MYC_TARGETS_V2	0.142140751718227	HALLMARK_APOPTOSIS	7.31938358708767	HALLMARK_APICAL_JUNCTION	0.156802832009288	HALLMARK_IL2_STAT5_SIGNALING	0.792119999096688	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.34608137277701	HALLMARK_COAGULATION	0.436395303681223	HALLMARK_PEROXISOME	0.0010213788110975	HALLMARK_DNA_REPAIR	0
HALLMARK_FATTY_ACID_METABOLISM	0.179731446662058	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	6.84292822111327	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.00324225819856288	HALLMARK_ESTROGEN_RESPONSE_LATE	0.111561914190441	HALLMARK_P53_PATHWAY	7.05611058505916	HALLMARK_FATTY_ACID_METABOLISM	0.14673942425758	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.784429048979439	HALLMARK_ANGIOGENESIS	0.860736543660564	HALLMARK_HYPOXIA	0.360905335380892	HALLMARK_ESTROGEN_RESPONSE_LATE	0.000277870298012532	HALLMARK_G2M_CHECKPOINT	0
